"","X3","Predicted_Interest_Rate"
"1",47416907,16.0007893105135
"2",47034722,7.34144822777109
"4",47476932,16.0007893105135
"5",47346901,10.048772045855
"6",47073801,13.4899209332936
"7",44316683,14.1576169505769
"8",46818598,10.048772045855
"9",47416833,16.0007893105135
"10",47376870,7.34144822777109
"11",47161355,13.7564836006226
"12",47123755,8.74608651459013
"13",47103930,14.1576169505769
"14",47013371,20.4491475143843
"15",47143823,10.048772045855
"16",47161046,7.34144822777109
"17",47160744,10.048772045855
"18",47143830,18.0490981915554
"19",47034659,14.1576169505769
"20",47054406,16.0007893105135
"21",47103904,12.5036155649311
"22",46942579,18.0490981915554
"23",46942527,13.7564836006226
"24",47043446,12.5036155649311
"25",47160953,13.7564836006226
"26",46676772,16.0007893105135
"27",47083782,7.34144822777109
"29",47094813,18.0490981915554
"30",47073946,8.74608651459013
"31",47160578,20.4491475143843
"32",47103727,20.4491475143843
"33",47003880,12.5036155649311
"34",44235562,13.7564836006226
"35",46536208,13.7564836006226
"36",46909869,10.048772045855
"37",46931319,12.5036155649311
"38",47023725,18.0490981915554
"39",47159936,10.048772045855
"40",46932361,16.0007893105135
"41",47160122,10.048772045855
"42",46964160,13.4899209332936
"43",47133194,13.7564836006226
"44",47064998,20.4491475143843
"45",47073892,13.7564836006226
"46",47023832,18.0490981915554
"47",47034350,16.0007893105135
"48",47034303,16.0007893105135
"49",46953397,8.74608651459013
"50",47159977,8.74608651459013
"51",21899151,14.1576169505769
"52",45250902,18.0490981915554
"53",46826268,20.4491475143843
"54",46825993,12.5036155649311
"55",46447441,14.1576169505769
"56",47094158,8.74608651459013
"57",47053251,23.5818166277811
"58",47083324,23.5818166277811
"59",47012114,7.34144822777109
"60",47073539,8.74608651459013
"61",47095032,7.34144822777109
"62",47043214,12.5036155649311
"64",46963853,12.5036155649311
"65",47159710,12.5036155649311
"66",46910703,7.34144822777109
"67",46983815,18.0490981915554
"68",46953305,14.1576169505769
"69",47033828,12.5036155649311
"70",47159712,20.4491475143843
"71",46993808,14.1576169505769
"72",47123265,10.048772045855
"73",47159521,7.34144822777109
"74",47033887,12.5036155649311
"75",47073636,7.34144822777109
"76",46922497,13.4899209332936
"77",47159692,12.5036155649311
"78",46973841,10.048772045855
"79",46963781,14.1576169505769
"81",46964082,7.34144822777109
"82",47123268,13.7564836006226
"83",47103604,12.5036155649311
"84",46151987,13.4899209332936
"85",46322138,18.0490981915554
"86",46596192,12.5036155649311
